date;AAPL;GE;GME;PG;TSLA
2000-01-03;0.088754;-0.030695;;-0.021677;
2000-01-04;-0.08431;-0.03875;;-0.019242;
2000-01-05;0.014634;-0.005202;;-0.019025;
2000-01-06;-0.086539;0.015577;;0.046061;
2000-01-07;0.047368;0.038721;;0.079954;
2000-01-10;-0.017588;-0.000413;;-0.004828;
2000-01-11;-0.051151;0.002479;;0.015633;
2000-01-12;-0.059973;0.002473;;-0.006369;
2000-01-13;0.109677;0.011513;;-0.017094;
2000-01-14;0.038114;-0.017886;;0.017391;
2000-01-18;0.034848;-0.019868;;-0.000534;
2000-01-19;0.025256;0.004856;;-0.010625;
2000-01-20;0.065103;-0.018701;;-0.024377;
2000-01-21;-0.019273;-0.01242;;-0.087729;
2000-01-24;-0.04548;-0.041631;;0.001826;
2000-01-25;0.056471;0.002715;;-0.052248;
2000-01-26;-0.018374;0.021209;;0.032051;
2000-01-27;-0.001702;0.002209;;0.034162;
2000-01-28;-0.076136;-0.054674;;-0.036036;
2000-01-31;0.02091;-0.002799;;0.007477;
2000-02-01;-0.033735;0.017774;;-0.015461;
2000-02-02;-0.014339;-0.014246;;-0.008794;
2000-02-03;0.045541;0.038695;;-0.008238;
2000-02-04;0.045372;0.016607;;-0.03131;
2000-02-07;0.056134;-0.035762;;-0.015831;
2000-02-08;0.007123;0.004121;;0.02681;
2000-02-09;-0.019587;-0.021888;;-0.018277;
2000-02-10;0.007769;0.010256;;-0.027261;
2000-02-11;-0.04185;-0.01246;;0.025291;
2000-02-14;0.064943;0.004673;;-0.02;
2000-02-15;0.027523;0.023256;;0.042177;
2000-02-16;-0.040966;-0.013409;;-0.017787;
2000-02-17;0.006572;-0.035245;;0.001495;
2000-02-18;-0.031556;-0.04298;;-0.015926;
2000-02-22;0.023034;0.03493;;0.002023;
2000-02-23;0.021417;0.00675;;-0.024226;
2000-02-24;-0.009005;0.003831;;-0.022069;
2000-02-25;-0.04191;-0.037214;;-0.039492;
2000-02-28;0.026048;0.022299;;0.038179;
2000-02-29;0.012141;0.02666;;-0.005658;
2000-03-01;0.136859;-0.007554;;0.004267;
2000-03-02;-0.063789;0.029496;;-0.010623;
2000-03-03;0.04918;0.030499;;0.012885;
2000-03-06;-0.018066;-0.01096;;-0.011307;
2000-03-07;-0.022377;-0.05457;;-0.313796;
2000-03-08;-0.007121;0.002886;;-0.033333;
2000-03-09;0.002049;0.011031;;-0.001078;
2000-03-10;0.02863;-0.000474;;-0.074434;
2000-03-13;-0.035288;-0.017086;;0.061772;
2000-03-14;-0.058217;-0.018832;;-0.029638;
2000-03-15;0.017506;0.051673;;0.058824;
2000-03-16;0.045699;0.040711;;0.023504;
2000-03-17;0.028278;0.006295;;-0.037578;
2000-03-20;-0.016;0.007596;;0.008677;
2000-03-21;0.097053;0.064302;;-0.019355;
2000-03-22;0.06855;0.005833;;0.0;
2000-03-23;-0.019939;0.060481;;-0.014254;
2000-03-24;-0.018576;-0.005859;;0.004449;
2000-03-27;0.006309;-0.007073;;-0.021041;
2000-03-28;-0.003135;-0.012268;;0.032805;
2000-03-29;-0.022911;0.048077;;0.028478;
2000-03-30;-0.074943;-0.029052;;-0.011715;
2000-03-31;0.08002;-0.019685;;-0.025862;
2000-04-03;-0.018408;0.02008;;0.053097;
2000-04-04;-0.045007;-0.033071;;0.066177;
2000-04-05;0.024055;-0.001222;;-0.029557;
2000-04-06;-0.039789;0.023237;;0.018274;
2000-04-07;0.052421;0.012351;;0.011964;
2000-04-10;-0.051233;0.003935;;0.040394;
2000-04-11;-0.0445;0.01372;;0.006629;
2000-04-12;-0.085296;-0.030162;;0.043274;
2000-04-13;0.041762;-0.041467;;0.002705;
2000-04-14;-0.017024;-0.02995;;-0.093525;
2000-04-17;0.107263;0.042882;;0.095238;
2000-04-18;0.024218;0.029605;;-0.037935;
2000-04-19;-0.04532;-0.00639;;0.0;
2000-04-20;-0.018576;0.016077;;0.043519;
2000-04-24;0.01367;0.025712;;0.022666;
2000-04-25;0.064834;0.024296;;-0.087766;
2000-04-26;-0.054554;-0.016566;;-0.055394;
2000-04-27;0.044822;-0.01072;;0.002058;
2000-04-28;-0.021203;-0.026316;;-0.018481;
2000-05-01;0.002015;0.013514;;-0.00523;
2000-05-02;-0.051785;0.010588;;0.006309;
2000-05-03;-0.02386;-0.031044;;0.013584;
2000-05-04;-0.038023;-0.013216;;-0.003093;
2000-05-05;0.022022;0.015422;;0.007239;
2000-05-08;-0.026519;0.005995;;0.005133;
2000-05-09;-0.042565;-0.010727;;0.025536;
2000-05-10;-0.058091;-0.022892;;0.022908;
2000-05-11;0.035242;0.004932;;0.012658;
2000-05-12;0.046809;0.025767;;-0.013462;
2000-05-15;-0.061556;0.033493;;0.011696;
2000-05-16;0.046411;0.006944;;-0.00578;
2000-05-17;-0.040804;-0.013793;;0.007752;
2000-05-18;-0.006165;-0.009324;;-0.003846;
2000-05-19;-0.066998;-0.023529;;0.004826;
2000-05-22;-0.043218;-0.036145;;-0.002882;
2000-05-23;-0.045865;-0.01;;-0.007707;
2000-05-24;0.02185;0.025253;;0.023301;
2000-05-25;-0.004811;0.0;;0.000949;
2000-05-26;-0.010206;-0.023399;;0.004739;
2000-05-30;0.013748;0.039092;;-0.001887;
2000-05-31;-0.040685;0.023058;;0.005671;
2000-06-01;0.061012;-0.005931;;-0.013158;
2000-06-02;0.038569;0.005967;;-0.032381;
2000-06-05;-0.013504;-0.022539;;-0.002953;
2000-06-06;0.017112;-0.006068;;-0.002962;
2000-06-07;0.039704;0.003663;;-0.00396;
2000-06-08;-0.018123;-0.009732;;-0.097416;
2000-06-09;0.009888;-0.031941;;-0.001101;
2000-06-12;-0.04765;0.01269;;0.0;
2000-06-13;0.036326;0.026316;;-0.002205;
2000-06-14;-0.042989;-0.006105;;0.009945;
